zipcode,name,tel,beonji,address
135-860,조세심판원,02-561-1225,949-3,서울 강남구　
156-720,기상청,02-831-0365,460-18,서울 동작구　
120-704,경찰위원회,02-313-0366,209,서울 서대문구
120-020,국민고충처리위원회,02-313-0114,267,서울 서대문구
120-715,중앙해양안전심판원,02-3148-6231,139,서울 서대문구
137-756,공정거래위원회,02-2023-4010,,서울 서초구　
137-756,기획예산처,02-3480-7716~7,520-3,서울 서초구　
137-807,여성부,02-2106-5130,520-3,서울 서초구　
158-707,국립과학수사연구소,02-2600-4600,331-1,서울 양천구　
150-874,국가보훈처,02-780-9601~6,17-23,서울 영등포구
150-701,국회,02-788-2001,1,서울 영등포구
150-703,국회도서관,02-788-4128,1,서울 영등포구
150-701,국회사무처,02-784-3561,1,서울 영등포구
150-880,금융감독위원회,02-3771-5000,27,서울 영등포구
150-876,노사정위원회,02-3771-3718~22,23-3,서울 영등포구
140-701,국방부,02-748-1111,1,서울 용산구　
110-706,감사원 ,02-721-9114,25-23,서울 종로구　
110-760,교육과학기술부,02-6222-6060,77,서울 종로구　
110-760,교육인적자원부,02-3703-2114,77,서울 종로구　
110-705,국세청,1588-0060,104,서울 종로구　
110-703,문화관광부,02-3704-9114,82-1,서울 종로구　
110-777,방송통신위원회,02-750-2114,100,서울 종로구　
110-760,법제처,02-3703-2264,77-6,서울 종로구　
110-760,소청심사위원회,02-720-4263,77-6,서울 종로구　
110-760,여성가족부,02-2100-6600,55 정부중앙청사,서울 종로구　
110-787,외교통상부,02-2100-2114,95-1 정부중앙청사별관,서울 종로구　
110-804,이북5도위원회,02-2287-2525,139,서울 종로구　
110-760,정부세종로청사교환대,02-3703-2114,77-6,서울 종로구　
110-760,정부전산정보관리소,02-3703-3687,77-6,서울 종로구　
110-760,정부청사관리소,02-3703-3020,77-6,서울 종로구　
110-777,통신위원회,02-750-1788~9,100,서울 종로구　
110-760,통일부,02-3704-2114,77-6,서울 종로구　
110-793,해양수산부,02-3674-6114,140-2 현대빌딩,서울 종로구　
110-760,행정자치부,02-3703-2114,77-6,서울 종로구　
302-701,관세청,042-481-4114,920 정부대전청사 1동,대전 서구　　
302-701,문화재청,042-481-4650,920 정부대전청사,대전 서구　　
302-701,병무청,042-481-4114,920 정부대전청사 3동,대전 서구　　
302-701,산림청,042-481-4152,920 정부대전청사 1동,대전 서구　　
302-701,정부대전청사교환대,042-481-4114,920,대전 서구　　
302-701,조달청,042-481-4114,920,대전 서구　　
302-701,중소기업청,042-481-4114,920,대전 서구　　
302-701,철도청,042-481-7788,920,대전 서구　　
302-701,통계청,042-481-4114,920,대전 서구　　
302-701,특허청,042-481-5020~2,920,대전 서구　　
427-805,국사편찬위원회,02-500-8282,2-6,경기 과천시　
427-712,국토해양부,1599-0001,1,경기 과천시　
427-716,기술표준원,02-503-7978~9,2,경기 과천시　
427-718,노동부,02-2110-2114,1,경기 과천시　
427-719,농림부,02-503-7231~5,1,경기 과천시　
427-720,법무부,02-503-7018,1,경기 과천시　
110-793,보건복지가족부,129,140-2,경기 과천시　
427-723,산업자원부,02-503-9411~4,1,경기 과천시　
427-724,서울지방중소기업청,02-509-7018~9,2,경기 과천시　
427-725,재정경제부,02-503-9032,1,경기 과천시　
